channel_id_x,fusion_embedding_index,cluster_id,community_id
UC03RvJoIhm_fMwlUpm9ZvFw,267,4,3
UC03t_ekDdKC_EwlPBbiP58g,268,4,14
UC03yWcN2vS2VFwRH6hQpi3g,269,6,4
UC04e1vy95lGjggcYbwgbOfw,270,0,8
UC04m8d9t8UeWZ5DuvQVnqiw,271,0,5
UC04tiq0fOxT_ALRWz-iaNow,272,4,11
UC05-Zc07tyuTIhjXsEWbYkg,273,8,0
UC05cEmAqCtRwIWwncV2gx2Q,274,0,5
UC05eluGxsI8_xf5uRC-J26Q,275,3,16
UC065Z0TfgG7o1cT7uSPWP8A,276,4,8
UC06E4Y_-ybJgBUMtXx8uNNw,277,5,16
UC06UXRnhvgWfYWnnYq2CYVQ,278,0,5
UC06hDL3xAoW5PAWFbRsA3XQ,279,6,1
UC07-dOwgza1IguKA86jqxNA,280,0,3
UC07CHp5ikd-AyafR4J2LWkA,281,0,8
UC07Kxew-cMIaykMOkzqHtBQ,282,5,14
UC07OM-NPEGph4dMnGMs_XsA,283,6,0
UC07rNeWO01xLjyNMY5cLo2A,284,0,4
UC07tUXSQhGNnN50f18HrfIA,285,6,0
UC084FSD0cO4ZOS5SonULRCQ,286,4,5
UC089A8FbH99ke1G6ea5Bi8Q,287,8,0
UC08NS8fyPpkYgnhj69fMXLg,288,0,4
UC08Ti1qPyHfHSjUnOHNlEaw,289,6,4
UC08i2mnmdrJwu-Lq4zDZKYg,290,5,8
UC09d82usokACH1z5YeKnfiA,291,1,16
UC09qASY4ixFS-KXIH6Nw0rg,292,4,7
UC09v4tfWvgh5bPce5ClPkag,293,0,5
UC0A1ZF6z8cWzWoCEt13b7Kg,294,0,5
UC0A7P5CK3JqoOq4p8BL4iFA,295,5,14
UC0AE_22J0kAo30yjasaeFqw,296,5,10
UC0ASolYU_Yh3yShLFQC0stg,297,6,4
UC0AeIM8xtiFAgT_N1inUQxQ,298,6,12
UC0AwRymrRJffcSyD-rJwATQ,299,0,8
UC0B4l05O1G5-K6Iz7SDh_ug,300,0,8
UC0BByfXByqwSKXZP0Xw52CQ,301,5,16
UC0BiHjkVyGREJcZFF-LR7cQ,302,4,9
UC0BletW9phE4xHFM44q4qKA,303,5,12
UC0Btk1N5V-k4eBfCxFbfyjA,304,0,5
UC0C-w0YjGpqDXGB8IHb662A,305,4,7
UC0CG8Kj2DqFc9bJld0hJKBA,306,5,16
UC0CbUVRC1d1RvunYbp3w2qQ,307,0,3
UC0D-9f6I46bQQn8_e18fR8A,308,0,5
UC0D4TPONTJ6cppMxQ9SD97g,309,4,2
UC0DAJW9IjtV4lIz7dDVDBFA,310,4,7
UC0DM_mHV2u6dj8ig51GkQwg,311,0,3
UC0DZmkupLYwc0yDsfocLh0A,312,4,7
UC0Dv1y_n3yeZ5tgB96oJ95w,313,4,2
UC0EUI4xA5SB6WswqLavNcyA,314,4,2
UC0Ew_IKrJ7sayXY4Dom5Xmg,315,5,14
UC0FEwM95qDiiY10QTgyiCmg,316,6,1
UC0FFFneMi9GwRHUsuBjM0jA,317,4,3
UC0FXfjJhmlEBjXDcBEkoNCg,318,8,0
UC0FvBPKV6s_Hr_KvNaoGl5Q,319,4,2
UC0GLNhtTu7yI8rl6ZZGeezw,320,5,0
UC0G_81bQtShWWVUPAhoVfCg,321,8,0
UC0Gb9wxH8cvheXi_X9q5Isw,322,0,5
UC0GdxTEc2SqPVj0MCdBtBKQ,323,6,0
UC0GgioZ1XWa9xNJJH66h7rg,324,6,4
UC0H6I4rKiHmtceSdTCM-DKQ,325,5,10
UC0Hg2Ks00kCekyjZG_LxOmg,326,4,7
UC0IWRLai-BAwci_e9MylNGw,327,4,9
UC0IXvMUUPeYNVGe88ieMDEg,328,6,2
UC0Ihuy4gj2w-AYEQXRnUdUA,329,4,7
UC0Ik25PHaiHCbfGrzu-lBFQ,330,5,10
UC0Ize0RLIbGdH5x4wI45G-A,331,4,1
UC0J8BQahplvTY6LjlnLf_NQ,332,0,3
UC0JB5IZPFHvzP1aHzYTJiCw,333,5,16
UC0JH7Pdkk7JNZtCXd2YjP9g,334,5,10
UC0JhlRkfXzvAJehuEeVjqpg,335,5,10
UC0KAFLxIiaR_FFNYDL3utGw,336,7,12
UC0KF79lLfea_qVk1A1aPsBg,337,5,0
UC0KT03NPnN-j4HGzetW9Lpw,338,0,4
UC0KU8F9jJqSLS11LRXvFWmg,339,4,11
UC0KdD41_dzHdDF1b1bN4cSw,340,6,4
UC0KfjyvabuE2J-RBC6ko2Lw,341,5,10
UC0Kgvj5t_c9EMWpEDWJuR1Q,342,5,12
UC0KhRfP4PWrMvLNdklr4sbw,343,8,0
UC0KiGuCTrehqzSQ7ikjxSQw,344,4,8
UC0L1suV8pVgO4pCAIBNGx5w,345,0,8
UC0M0rxSz3IF0CsSour1iWmw,346,4,7
UC0MYNOsIrz6jmXfIMERyRHQ,347,4,8
UC0Mq4CyJrMI9fvyy0inmhdQ,348,4,1
UC0Mr5QcX7nG0oSfBrcf-IYw,349,6,2
UC0NV63T5Uj_Gh8CoZ6UcIfQ,350,0,8
UC0NaWwWghJD37rMK2AYDidg,351,4,2
UC0NdkLdik4nyugI9AqlOtYg,352,6,0
UC0NjSG_gbGRuc2XxkgIb-yw,353,6,0
UC0NwzCHb8Fg89eTB5eYX17Q,354,4,11
UC0O9g3nxkVcP1UmuoDnQ58A,355,6,4
UC0OjtqHqaKjetE-4oziYWug,356,4,5
UC0Om7exUz4_yM_zjXezpt8Q,357,4,1
UC0OnAjC52vtL_N3f76BU9dw,358,8,0
UC0PKLLmL8pIJLjOI1gBH_pA,359,0,5
UC0PMQXAwF6O6aeTpv962miA,360,4,2
UC0PPuloGGVMIAOa42vpmn7Q,361,5,10
UC0PTktRYpZXb6On0_zFKWIg,362,0,8
UC0PXqiud6dbwOAk8RvslgpQ,363,4,14
UC0PaoSxEK2nEmO-Mtk2vGWA,364,6,10
UC0QHWhjbe5fGJEPz3sVb6nw,365,5,7
UC0QKbvP4XKGCw5s4iSXGywQ,366,6,4
UC0QKe0NgW-b0oZvnB5vqiJw,367,5,10
UC0QpXwNHik1793EYNGZcOoA,368,4,7
UC0QvUM4CyduRrtghCA8dMlg,369,8,16
UC0RBTQIYLEQbcahZWkmzeTQ,370,5,10
UC0Rp4wkphkKwnL2qJB8XnKw,371,5,14
UC0S1UfrdQDUlYzj4RQMuoEA,372,1,16
UC0S4TBEsQgiyMJaZ5z1w_Mw,373,0,8
UC0S5w-TQJywcsni8ZMzgqkg,374,4,8
UC0SFwkGlQonlP69Lb9Gdb-w,375,0,3
UC0SIHdEcfg4BsM8X5tixwHQ,376,0,5
UC0T7tvy44mlQCjaTtparOZw,377,5,16
UC0Um3pnZ2WGBEeoA3BX2sKw,378,0,3
UC0VN6My1ueOFXDTgzMZSSNQ,379,4,8
UC0VNRvMijMy6DtM9UgX46Og,380,5,2
UC0VOyT2OCBKdQhF3BAbZ-1g,381,5,14
UC0VVYtw21rg2cokUystu2Dw,382,5,10
UC0W6NYJ_y7cd3laVfaSOl0A,383,8,16
UC0WP5P-ufpRfjbNrmOWwLBQ,384,7,12
UC0Wju2yvRlfwqraLlz5152Q,385,5,1
UC0WpBLqS4o_cRdMv6yBcT9g,386,0,3
